Title,Release_Year,Genre,Synopsis,Poster_URL,Movie_ID,Movie_URL,Duration,Certification,Voters,Rating
How It Ends,(2018),"Action,Drama,Horror","In the midst of an apocalypse, a man struggles to reach his pregnant wife, who is thousands of miles away.","https://m.media-amazon.com/images/M/MV5BMjMwOTg0MzU4MV5BMl5BanBnXkFtZTgwODk2NjY3NTM@._V1_UX67_CR0,0,67,98_AL_.jpg",5246700,https://www.imdb.com/title/tt5246700/,113 min,16,"54,362",5.0
The Missing,(2014–2016),"Crime,Drama,Mystery",Tony and Emily Hughes' vacation turns into a nightmare when their 5-year-old son Oliver disappears from a large celebrating crowd in Northern France.,"https://m.media-amazon.com/images/M/MV5BNTk2NzU4OTc0Ml5BMl5BanBnXkFtZTgwNzcwNzMwNDE@._V1_UX67_CR0,0,67,98_AL_.jpg",3877200,https://www.imdb.com/title/tt3877200/,60 min,NA,"27,590",8.2
Million Dollar Baby,(2004),"Drama,Sport",A determined woman works with a hardened boxing trainer to become a professional.,"https://m.media-amazon.com/images/M/MV5BMTkxNzA1NDQxOV5BMl5BanBnXkFtZTcwNTkyMTIzMw@@._V1_UX67_CR0,0,67,98_AL_.jpg",0405159,https://www.imdb.com/title/tt0405159/,132 min,UA,"690,887",8.1
Iron Man 2,(2010),"Action,Adventure,Sci-Fi","With the world now aware of his identity as Iron Man, Tony Stark must contend with both his declining health and a vengeful mad man with ties to his father's legacy.","https://m.media-amazon.com/images/M/MV5BMTM0MDgwNjMyMl5BMl5BanBnXkFtZTcwNTg3NzAzMw@@._V1_UX67_CR0,0,67,98_AL_.jpg",1228705,https://www.imdb.com/title/tt1228705/,124 min,UA,"822,556",6.9
Serendipity,(2001),"Comedy,Romance","A couple search for each other years after the night they first met, fell in love, and separated, convinced that one day they'd end up together.","https://m.media-amazon.com/images/M/MV5BMzc3Yjg1MmUtODllMy00MmZkLTgyNDAtZDg0N2I4OWEzZTkxXkEyXkFqcGdeQXVyNTM0NTU5Mg@@._V1_UX67_CR0,0,67,98_AL_.jpg",0240890,https://www.imdb.com/title/tt0240890/,90 min,U,"115,432",6.8
The Lodge,(2019),"Drama,Horror,Mystery","A soon-to-be stepmom is snowed in with her fiancé's two children at a remote holiday village. Just as relations begin to thaw between the trio, some strange and frightening events take place.","https://m.media-amazon.com/images/M/MV5BNDQ2YWVmZjEtMTE1ZS00MDk1LTg5ODUtMDVlODk0OTM2ODMwXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UX67_CR0,0,67,98_AL_.jpg",7347846,https://www.imdb.com/title/tt7347846/,108 min,18,"49,614",6.0
Scream 3,(2000),"Horror,Mystery","While Sidney and her friends visit the Hollywood set of Stab 3, the third film based on the Woodsboro murders, another Ghostface killer rises to terrorize them.","https://m.media-amazon.com/images/M/MV5BMDljNmI1YzctNjJlZC00NzZlLWFlZTgtMDE4MjJiMDk0ZGY4XkEyXkFqcGdeQXVyMjg3MDQ0Mjk@._V1_UX67_CR0,0,67,98_AL_.jpg",0134084,https://www.imdb.com/title/tt0134084/,116 min,UA,"146,335",5.6
Despicable Me,(2010),"Animation,Adventure,Comedy","When a criminal mastermind uses a trio of orphan girls as pawns for a grand scheme, he finds their love is profoundly changing him for the better.","https://m.media-amazon.com/images/M/MV5BMTY3NjY0MTQ0Nl5BMl5BanBnXkFtZTcwMzQ2MTc0Mw@@._V1_UX67_CR0,0,67,98_AL_.jpg",1323594,https://www.imdb.com/title/tt1323594/,95 min,U,"551,932",7.6
Serenity,(2005),"Action,Adventure,Sci-Fi",The crew of the ship Serenity try to evade an assassin sent to recapture telepath River.,"https://m.media-amazon.com/images/M/MV5BMTc5YjQ0MGQtOTdjZS00OGZhLTk1ZGItMThjOGFiZmMxYWRjL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX67_CR0,0,67,98_AL_.jpg",0379786,https://www.imdb.com/title/tt0379786/,119 min,PG-13,"297,885",7.8
Foyle's War,(2002–2015),"Crime,Drama,Mystery","As WWII rages, DCS Foyle fights his own war on the home-front; investigating crime on the south coast of England. Later series, see the retired detective working as an MI5 agent in the aftermath of the war.","https://m.media-amazon.com/images/M/MV5BYjJhNjUzN2ItNmFjMC00ZjM3LWExMmItZjkyMjI1NWU3Y2FmXkEyXkFqcGdeQXVyMjExMjk0ODk@._V1_UY98_CR3,0,67,98_AL_.jpg",0310455,https://www.imdb.com/title/tt0310455/,90 min,NA,"16,053",8.6
